Sing For You,EXO,"SING FOR YOU - 겨울 스페셜 앨범, 2015",2015.12.10,Ballad
밤의 멜로디,브라운 아이드 소울,BROWN EYED SOUL 정규 4집 `SOUL COOKE`,2015.12.08,R&B; / Soul
HOME,브라운 아이드 소울,BROWN EYED SOUL 정규 4집 `SOUL COOKE`,2015.12.08,R&B; / Soul
웃픈 하루,god,god Single Album,2015.12.09,Ballad
오만과 편견 (Feat. 수란),지코 (ZICO),GALLERY,2015.12.07,Rap / Hip-hop
불공평해 (Unfair),EXO,"SING FOR YOU - 겨울 스페셜 앨범, 2015",2015.12.10,Ballad
VENI VIDI VICI (Feat. DJ Wegun),지코 (ZICO),GALLERY,2015.12.07,Rap / Hip-hop
Girl x Friend,EXO,"SING FOR YOU - 겨울 스페셜 앨범, 2015",2015.12.10,Rap / Hip-hop
사랑의 말 (HOW MUCH I LOVE YOU),브라운 아이드 소울,BROWN EYED SOUL 정규 4집 `SOUL COOKE`,2015.12.08,R&B; / Soul
발자국 (On the snow),EXO,"SING FOR YOU - 겨울 스페셜 앨범, 2015",2015.12.10,Ballad
몸 좀 녹이자,San E,BRAND NEW YEAR 2015 `BRAND NEW SHIT`,2015.12.09,R&B; / Soul
허세 (Prod. by 타블로),윤하,허세 (Prod. by 타블로),2015.12.10,Ballad
겨울이야기,박정현,겨울이야기,2015.12.08,R&B; / Soul
그대에게,러블리즈,Lovelinus,2015.12.07,Dance
TENDER Eyes (Feat. 타블로),브라운 아이드 소울,BROWN EYED SOUL 정규 4집 `SOUL COOKE`,2015.12.08,R&B; / Soul
미친개 (Feat. San E),예지,미친개,2015.12.11,Rap / Hip-hop
어떻게 너를 사랑하지 않을 수가 있겠어,브라운 아이드 소울,BROWN EYED SOUL 정규 4집 `SOUL COOKE`,2015.12.08,R&B; / Soul
크리스마스잖아요,B1A4,크리스마스잖아요,2015.12.10,Dance
Q&A;,세븐틴,Q&A;,2015.12.04,R&B; / Soul
오늘은,솔지 (EXID),돈 워리 뮤직 Vol.1,2015.12.10,Ballad
처음 그 날처럼,강균성 (노을),투유 프로젝트 - 슈가맨 Part.8,2015.12.09,Ballad
그만.그만 (With 유성은),브라운 아이드 소울,BROWN EYED SOUL 정규 4집 `SOUL COOKE`,2015.12.08,R&B; / Soul
너를,브라운 아이드 소울,BROWN EYED SOUL 정규 4집 `SOUL COOKE`,2015.12.08,R&B; / Soul
