ONLY ONE,솔지하니 (EXID),ONLY ONE
이 사랑,다비치,태양의 후예 OST Part.3
금요일밤 (Feat. 정기고),마마무,Melting
야 하고 싶어 (Feat. 시우민 of EXO),지민 (AOA),야 하고 싶어
사랑이 온다,백지영,Girl Crush
그런 사람,이승기,그런 사람
봄인가 봐 (Spring Love),에릭남,봄인가 봐 (Spring Love)
