이별밖에,노을,이별밖에,2015.11.26,Ballad
그날을 내 등 뒤로,허각,겨울동화,2015.11.23,Ballad
혜화동 (혹은 쌍문동),박보람,응답하라 1988 OST Part.4,2015.11.28,Drama
But (Feat. 백지영),길,R.O.A.D PROJECT #1,2015.11.25,R&B; / Soul
사랑은 가슴이 시킨다 Part.3,버즈,사랑은 가슴이 시킨다 Part.3,2015.11.22,Rock
고칠게,진원,고칠게 - 다시부르기,2015.11.25,Ballad
세상이 완벽했다면 (Feat. 태연 of 소녀시대),버벌진트,GO HARD Part 1 : 양가치,2015.11.23,Rap / Hip-hop
그리워합니다,허각,겨울동화,2015.11.23,Ballad
잠은 안오고 배는 고프고,나인뮤지스,LOST,2015.11.24,"Dance, Ballad"
함부로 해줘 (Feat. 한해),예지,언프리티 랩스타 2 FINAL X SEMI FINAL Part.2,2015.11.14,Rap / Hip-hop
응급실,Izi,쾌걸춘향 OST,2005.01.20,Drama
위성,정진우,K팝 스타 시즌 5 `위성`,2015.11.22,R&B; / Soul
멈춰진 (Feat. 케이트),2LSON,멈춰진 (Feat. 케이트),2015.11.23,R&B; / Soul
크리스마스니까,성시경,Jelly Christmas 2012 HEART PROJECT,2012.12.06,Ballad
