No Make Up,Zion.T,No Make Up,2015.10.12,R&B; / Soul
모르나봐,소유,그녀는 예뻤다 OST Part.4,2015.10.14,Drama
밤을 새 (Feat. 베이식),허각,밤을 새,2015.10.14,R&B; / Soul
집으로 가는 길,비투비,I Mean,2015.10.12,"Ballad, Dance"
밀리언조각 (A Million Pieces),규현 (KYUHYUN),"다시, 가을이 오면 - The 2nd Mini Album",2015.10.15,Ballad
그 아버지에 그 아들,San E,그 아버지에 그 아들,2015.10.16,Rap / Hip-hop
Nothing (Feat. 문별 of 마마무),유성은,2nd MINI ALBUM,2015.10.13,R&B; / Soul
"사랑 할 때 아니야 (Money) (Prod. by 박재범, Cha Cha Malone) (Feat. 박재범, 지구인)",효린,언프리티 랩스타 2 Track 5,2015.10.10,Rap / Hip-hop
쿵쿵쿵,김민승,그녀는 예뻤다 OST Part.1,2015.09.23,Drama
걷고 싶다,전우성 (노을),걷고 싶다,2015.10.13,Ballad
Bandz Up (Prod. by Dok2) (Feat. Dok2),트루디,언프리티 랩스타 2 Track 6 & 7,2015.10.17,Rap / Hip-hop
"말해 Yes Or No (Feat. PENOMECO, The Quiett)",지코 (ZICO),말해 Yes Or No,2015.10.19,Rap / Hip-hop
