안아보자,포맨,4MEN 1st Live Album,2015.11.10,Ballad
걱정말아요 그대,이적,응답하라 1988 OST Part.2,2015.11.07,Drama
LIGHTSABER,EXO,LIGHTSABER,2015.11.11,Dance
사슬 (Chained Up),빅스,Chained Up,2015.11.10,"Dance, Ballad"
거북선 (Feat. 팔로알토),Ja Mezz,쇼미더머니 4 Episode 2,2015.08.01,Rap / Hip-hop
My Love (Feat. 베이식),효린,언프리티 랩스타 2 SEMI FINAL Part.1,2015.11.07,Rap / Hip-hop
너라는 시간이 흐른다,XIA (준수),육룡이 나르샤 OST Part.2,2015.11.11,Drama
먼 길,박서준,그녀는 예뻤다 OST Part.6,2015.11.06,Drama
널 생각해 (Prod. by 이찬혁 of 악동뮤지션),윤하,널 생각해 (Prod. by 이찬혁 of 악동뮤지션),2015.11.11,Ballad
돈 벌지마 (Feat. 찬열 of EXO),헤이즈,언프리티 랩스타 2 SEMI FINAL Part.1,2015.11.07,Rap / Hip-hop
아마도 그건,Crush,투유 프로젝트 - 슈가맨 Part.3,2015.11.04,"Ballad, R&B; / Soul"
그런가 봐요...,V.One,2004 History Will Begine...,2003.01.19,Ballad
마요 (Feat. 빈지노),신승훈,I am...&I; am,2015.11.10,"Ballad, Dance"
