사랑이 맞을거야,t 윤미래,사랑이 맞을거야,2015.12.14,Ballad
화이트(WHITE) (Feat. 박재범),다비치,D-MAKE,2015.12.16,Dance
꿀,40,꿀,2015.12.15,R&B; / Soul
사랑난로,서인국,Jelly Christmas 2015 - 4랑,2015.12.15,Ballad
넌 나의 크리스마스,바이브,넌 나의 크리스마스 (Made in THE VIBE),2015.12.14,R&B; / Soul
함께,노을,응답하라 1988 OST Part.7,2015.12.19,Drama
불꽃,초아 (AOA),불꽃,2015.12.17,Ballad
12시 25분 (Wish List),f(x),12시 25분 (Wish List) - WINTER GARDEN,2015.12.15,Electronica
Love Line,효린,Love Line,2015.12.18,R&B; / Soul
시리다,케이윌,리멤버 - 아들의 전쟁 OST Part.1,2015.12.16,Drama
보라빛향기,와블 (WABLE),응답하라 1988 OST Part.6,2015.12.12,Drama
그대는 눈물겹다,주미연,K팝 스타 시즌 5 `그대는 눈물겹다`,2015.12.13,Ballad
친구라도 될 걸 그랬어,거미,Like Them,2003.02.01,R&B; / Soul
그리움만 쌓이네,솔라 (마마무),솔라감성 Part.2,2015.12.11,Ballad
Heaven,조권,투유 프로젝트 - 슈가맨 Part.9,2015.12.16,Ballad
세가지 소원 (Wish Tree),Red Velvet (레드벨벳),세가지 소원 (Wish Tree) - WINTER GARDEN,2015.12.18,Ballad
