Boys And Girls (Feat. Babylon),지코 (ZICO),Boys and Girls,2015.11.03,Rap / Hip-hop
날 (Feat. JTONG),지코 (ZICO),Boys and Girls,2015.11.03,Rap / Hip-hop
신세계,브라운아이드걸스,BASIC,2015.11.05,"Dance, Ballad"
아무도 모르게,MC 몽,아무도 모르게,2015.11.02,Rap / Hip-hop
울고 분다,JOO,울고 분다,2015.11.02,Ballad
멀어지던 날 (The day we felt the distance),규현 (KYUHYUN),멀어지던 날 (The Day We Felt The Distance),2015.11.03,Ballad
그런가봐요 (Piano By 유희열),초아 (AOA),투유 프로젝트 - 슈가맨 Part.3,2015.11.04,"Ballad, R&B; / Soul"
"하루 같은 일년 (Feat. Babylon, 니화)",2LSON,1 Year,2015.11.04,R&B; / Soul
이 순간,다비치,이 순간,2015.11.04,Ballad
사랑이 아냐,"Homme (창민, 이현)",사랑이 아냐,2015.11.03,Ballad
기억속의 먼 그대에게,박효신,Neo Classicism,2005.06.03,"R&B; / Soul, Ballad"
야생화,박효신,야생화,2014.03.28,Ballad
청춘 (Feat. 김창완),김필,응답하라 1988 OST Part.1,2015.10.31,Drama
CALL ME BABY,EXO,The 2nd Album `EXODUS`,2015.03.30,"Dance, Ballad, R&B; / Soul"
뻔하잖아 (YOU KNOW) (Feat. Okasian),박재범,WORLDWIDE,2015.11.05,Rap / Hip-hop
아이스크림의 시간,브라운아이드걸스,BASIC,2015.11.05,"Dance, Ballad"
