1cm의 자존심,마마무,1cm의 자존심
PICK ME,PRODUCE 101,PRODUCE 101 - PICK ME
유리구슬 (Glass Bead),여자친구,여자친구 1st Mini Album `Season Of Glass`
질투 나요 BABY,AOA CREAM,질투 나요 BABY
사랑한다 할 수 있기에,바비 킴,리멤버 - 아들의 전쟁 OST Part.6
눈물,지아,WHITE
끝사랑,김범수,판타스틱 듀오 - 내 손에 가수
거짓말,이수정,K팝 스타 시즌 5 `거짓말`
