CHEER UP-TWICE (트와이스)
하늘바라기 (Feat. 하림)-정은지
봄이 좋냐??-10cm
이 사랑-다비치
Toy-블락비 (Block B)
You Are My Everything-거미
내 입술 따뜻한 커피처럼 (Feat. 이성경)-에디킴
말해! 뭐해?-케이윌
How Can I Love You-XIA (준수)
ALWAYS-윤미래
어디에도-엠씨더맥스
사랑하자-SG 워너비
넌 is 뭔들-마마무
다시 너를-매드클라운
시간을 달려서 (Rough)-여자친구
사랑에 빠졌죠 (당신만이)-장범준
Everytime-첸 (CHEN)
너는 나 나는 너-지코 (ZICO)
"그대, 바람이 되어-엠씨더맥스"
D (half moon) (Feat. 개코)-DEAN
한숨-이하이
같은 곳에서-소녀온탑
너도 (Feat. Cha Cha Malone)-로꼬
Boys And Girls (Feat. Babylon)-지코 (ZICO)
1년 365일 (Feat. 거미)-바이브
OOH-AHH하게-TWICE (트와이스)
잊어버리지마 (Feat. 태연)-Crush
몇 년 후에-블락비 (Block B)
봄인가 봐 (Spring Love)-에릭남
PICK ME-PRODUCE 101
썸타 (Lil` Something)-첸 (CHEN)
Yum-Yum (얌얌)-7 go up
오늘부터 우리는 (Me Gustas Tu)-여자친구
또 다시 사랑-임창정
MY STAR-이하이
With You-린
벚꽃 엔딩-버스커 버스커
Rain-태연
그녀가 곁에 없다면 (결혼 행진곡을 활용한 신곡)-장범준
Crush-아이오아이 (I.O.I)
야 하고 싶어 (Feat. 시우민 of EXO)-지민 (AOA)
유레카 (Feat. Zion.T)-지코 (ZICO)
Dream-수지
Destiny (나의 지구)-러블리즈
예쁘다-세븐틴
걱정말아요 그대-이적
스토커-10cm
Don`t Cry (우리동네 음악대장)-우리 동네 음악대장
Bang Bang-Jessie J
Love Yourself-Justin Bieber
빗속으로-장범준
봄 사랑 벚꽃 말고-HIGH4 (하이포)
그댄 행복에 살텐데-김범수
손잡아 줘요-이하이
Fingertips-Pinkrush
I`m Not The Only One-Sam Smith
Walkin` In The Rain-블락비 (Block B)
소녀-오혁
돌아오지마 (Feat. 용준형 Of 비스트)-헤이즈
우연히 봄-로꼬
또 하루 (Feat. 개코)-개리
Ah-Choo-러블리즈
Good For You-에릭남
봄날의 기억-비투비
나비무덤-테이크
사랑이었다 (Feat. 루나 of f(x))-지코 (ZICO)
I Miss You-마마무
이 노래가 끝나면 (Feat. DAVII)-용준형 (BEAST)
센치해-WINNER
제주도의 푸른 밤-태연
커플-젝스키스
우주를 건너-백예린
홍대에 가면-홍대광
아마도 그건-Crush
1cm의 자존심-마마무
네가 손짓해주면-Apink
친구라도 될 걸 그랬어-거미
다이너마이트-빅스
하여가 (何如歌) (우리동네 음악대장)-우리 동네 음악대장
I (Feat. 버벌진트)-태연
취향저격-iKON
사랑의 바보-더 넛츠
너의 목소리-먼데이 키즈
사랑이었다 (Song By 태일)-블락비 (Block B)
Okey Dokey-송민호
봄비-장범준
질투 (Duet. 키썸)-유성은
니가 하면 로맨스 (Feat. 다비치)-케이윌
기대해도 좋은 날-마마무
예쁘잖아-기리보이
그녀를 찾아주세요-더 네임
이렇게 예뻤나 (YOU`RE SO FINE)-CNBLUE (씨엔블루)
공감 (Feat. 서영은)-정준영
NICE 2 MEET U (Prod. by ZICO) (Feat. 소야)-마이티 마우스
딴따라 (Feat. 우혜미)-개리
사랑했던걸까-양다일
Dynamic Love-박보람
살아있네-박진영
안봐도 비디오 (Feat. BOBBY)-이하이
Hello-Adele
