보일 듯 말 듯,유주 (여자친구),보일 듯 말 듯
그림자 (Feat. 권순일 of 어반자카파),루이 (긱스),그림자
봄 사랑 벚꽃 말고,HIGH4 (하이포),봄 사랑 벚꽃 말고
Bang Bang,Jessie J,Bang Bang
너 라는 계절,서인국,너 라는 계절
손잡아 줘요,이하이,SEOULITE
WORLD TOUR (비행) (Feat. MINO of WINNER),이하이,SEOULITE
오늘은 가지마 (Duet Ver.),임세준,오늘은 가지마 (Made in THE VIBE)
같이살자,V.O.S,같이살자
한숨,이하이,SEOULITE
덕수궁 돌담길의 봄 (Feat. 10cm),윤아 (소녀시대),덕수궁 돌담길의 봄 (Feat. 10cm)
You Are My Everything,거미,태양의 후예 OST Part.4
OFFICIAL (Feat. Incredivle),이하이,SEOULITE
FXXK WIT US (Feat. DOK2),이하이,SEOULITE
싶은데,라디,싶은데 & Good Girl
