오늘부터 우리는 (Me Gustas Tu),여자친구,여자친구 2nd Mini Album `Flower Bud`
Beverly 1lls,"슈퍼비 (Superbee),myunDo",쇼미더머니 5 Episode 3
No Matter What,"보아 (BoA),빈지노 (Beenzino)",No Matter What
잊어버리지마 (Feat. 태연),Crush,잊어버리지마
사랑하자,SG 워너비,태양의 후예 OST Part.8
Love Yourself,Justin Bieber,Purpose (Deluxe Edition)
무궁화,"매드클라운,Donutman,보이비,샵건",쇼미더머니 5 Episode 1
Lucky One,EXO,EX`ACT - The 3rd Album
스토커,10cm,3.0
아주 NICE,세븐틴,Love&Letter Repackage Album
Toy,블락비 (Block B),Blooming Period
한숨,이하이,SEOULITE
그 애 (愛),정엽,SBS 드라마 닥터스 OST Part.3
우아해 (woo ah),Crush,Interlude
또 다시 사랑,임창정,또 다시 사랑
Rain,태연 (TAEYEON),태연 `Rain`
Dream Girls,아이오아이 (I.O.I),아이오아이 (I.O.I) 1st Mini Album `Chrysalis`
어쩌면 나,로이킴,또 오해영 OST Part.4
ALWAYS,윤미래,태양의 후예 OST Part.1
불타오르네 (FIRE),방탄소년단,화양연화 Young Forever
I`m Not The Only One,Sam Smith,In The Lonely Hour (Standard Edition)
물들어요 (Fall in Love),여자친구,여자친구 The 1st Album `LOL`
Sunflower,윤하 (YOUNHA),닥터스 OST Part.2
끝 (AND) (Feat. 수란),서출구,쇼미더머니 5 Episode 4
RAPSTAR (remix),"Flowsik,The Quiett,Dok2",쇼미더머니 5 Episode 3
Don`t Cry (우리 동네 음악대장),하현우 (국카스텐),복면가왕 50회
바라지 않아 (Feat. 소정 Of 레이디스 코드),정키,LISH
돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),돌아오지마
사람들이 움직이는 게,악동뮤지션,사춘기 상 (思春記 上)
파도,유엔,Traveling You
다시 너를,"매드클라운,김나영",태양의 후예 OST Part.5
아름다운 그대에게,원더걸스,Why So Lonely
그 해 여름 (두 번째 이야기),인피니트,그 해 여름 (두 번째 이야기)
오늘 모해 (#WYD),iKON,오늘 모해 (#WYD)
유레카 (Feat. Zion.T),지코 (ZICO),GALLERY
하이라이트 (Highlight),비스트,Highlight
When I...,비스트,Highlight
21,DEAN,130 mood : TRBL
왜 불러 (Feat. 미료),C.I.V.A,왜 불러
